filename,case_id,side,category,source_file,notes
radiance-skin-before-after-skin-case001-before.jpg,skin-case001,before,skin-before-after,सफ_ई_म_स_ध_र_त_वच_उपच_र_पर_ण_म.png,Separated from generated before-after composite; left half
radiance-skin-before-after-skin-case001-after.jpg,skin-case001,after,skin-before-after,सफ_ई_म_स_ध_र_त_वच_उपच_र_पर_ण_म.png,Separated from generated before-after composite; right half
radiance-skin-before-after-skin-case002-before.jpg,skin-case002,before,skin-before-after,त_वच_स_ब_ध_त_स_ध_र_comparison.png,Separated from generated before-after composite; left half
radiance-skin-before-after-skin-case002-after.jpg,skin-case002,after,skin-before-after,त_वच_स_ब_ध_त_स_ध_र_comparison.png,Separated from generated before-after composite; right half
radiance-skin-before-after-skin-case003-before.jpg,skin-case003,before,skin-before-after,पहल_और_ब_द_क_त_लन.png,Separated from generated before-after composite; left half
radiance-skin-before-after-skin-case003-after.jpg,skin-case003,after,skin-before-after,पहल_और_ब_द_क_त_लन.png,Separated from generated before-after composite; right half
radiance-skin-before-after-skin-case004-before.jpg,skin-case004,before,skin-before-after,त_वच_स_ध_र_क_पर_वर_तन.png,Separated from generated before-after composite; left half
radiance-skin-before-after-skin-case004-after.jpg,skin-case004,after,skin-before-after,त_वच_स_ध_र_क_पर_वर_तन.png,Separated from generated before-after composite; right half
radiance-skin-before-after-skin-case005-before.jpg,skin-case005,before,skin-before-after,स_क_न_ट_र_टम_ट_पहल_और_ब_द.png,Separated from generated before-after composite; left half
radiance-skin-before-after-skin-case005-after.jpg,skin-case005,after,skin-before-after,स_क_न_ट_र_टम_ट_पहल_और_ब_द.png,Separated from generated before-after composite; right half
radiance-skin-before-after-skin-case006-before.jpg,skin-case006,before,skin-before-after,skincare_results_before_and_after.png,Separated from generated before-after composite; left half
radiance-skin-before-after-skin-case006-after.jpg,skin-case006,after,skin-before-after,skincare_results_before_and_after.png,Separated from generated before-after composite; right half
