Country,Clicks,Impressions,CTR,Position
India,499,43206,1.15%,9.91
Jordan,5,57,8.77%,23.88
Canada,3,206,1.46%,21.14
United States,2,2607,0.08%,30.36
United Kingdom,1,905,0.11%,41.6
Australia,1,238,0.42%,38.87
United Arab Emirates,1,206,0.49%,23.83
Saudi Arabia,1,117,0.85%,35.64
Germany,1,96,1.04%,25.05
Ukraine,1,55,1.82%,22.53
Morocco,1,50,2%,36.68
Ireland,1,31,3.23%,26.06
Sri Lanka,1,25,4%,14.36
Poland,1,17,5.88%,6.47
Malaysia,0,493,0%,40.34
Thailand,0,410,0%,44.31
Philippines,0,287,0%,33.54
Singapore,0,225,0%,44.99
Pakistan,0,131,0%,18.07
Indonesia,0,120,0%,34.47
Bangladesh,0,105,0%,28.9
Turkey,0,101,0%,43.72
Vietnam,0,99,0%,43.1
South Africa,0,91,0%,15.18
France,0,84,0%,17.24
Nigeria,0,73,0%,5.03
Mexico,0,69,0%,34.88
Nepal,0,68,0%,29.88
Russia,0,68,0%,31.15
Spain,0,58,0%,27.97
Netherlands,0,49,0%,7.86
Qatar,0,49,0%,39.29
Kuwait,0,39,0%,41.77
Italy,0,37,0%,9.51
Sweden,0,36,0%,8.78
Algeria,0,33,0%,36.33
Romania,0,30,0%,6.13
New Zealand,0,24,0%,17.62
Belgium,0,24,0%,44
Egypt,0,22,0%,15.73
Brazil,0,19,0%,8.16
Japan,0,19,0%,8.32
Hong Kong,0,18,0%,6.17
Israel,0,17,0%,24.59
Kenya,0,16,0%,7.38
Czechia,0,16,0%,15.12
Oman,0,14,0%,30.07
Greece,0,13,0%,7.54
Denmark,0,13,0%,12.54
Ghana,0,11,0%,5.45
Norway,0,11,0%,7.73
Switzerland,0,11,0%,11.73
Iraq,0,11,0%,16.27
Uganda,0,10,0%,8.2
Tanzania,0,10,0%,18.8
South Korea,0,8,0%,5.88
Chile,0,8,0%,10.38
Portugal,0,7,0%,8
Argentina,0,7,0%,10.29
Hungary,0,7,0%,11.86
Finland,0,6,0%,6
Cambodia,0,6,0%,6.5
Peru,0,6,0%,7.67
Lithuania,0,6,0%,14.83
Albania,0,5,0%,1.4
Austria,0,5,0%,5
Kazakhstan,0,5,0%,7
Latvia,0,5,0%,8
China,0,5,0%,8.6
Serbia,0,5,0%,8.6
Kyrgyzstan,0,5,0%,8.8
Tunisia,0,5,0%,11.6
Lebanon,0,5,0%,34
Iran,0,4,0%,3.75
Ethiopia,0,4,0%,4.5
Congo - Kinshasa,0,4,0%,5.5
Colombia,0,4,0%,35
Taiwan,0,3,0%,4
Bahrain,0,3,0%,5
Mauritius,0,3,0%,5.33
Syria,0,3,0%,5.33
Malta,0,3,0%,9.67
Cyprus,0,3,0%,10
Croatia,0,3,0%,11.67
Estonia,0,3,0%,17.33
Zambia,0,3,0%,34.33
Brunei,0,3,0%,37.67
Maldives,0,3,0%,38
Luxembourg,0,3,0%,64.67
Iceland,0,3,0%,75.33
Bosnia & Herzegovina,0,2,0%,1
Macedonia,0,2,0%,1.5
Slovakia,0,2,0%,1.5
Libya,0,2,0%,2
Afghanistan,0,2,0%,2.5
Guam,0,2,0%,3
Azerbaijan,0,2,0%,4.5
Botswana,0,2,0%,5
Zimbabwe,0,2,0%,5
Puerto Rico,0,2,0%,6.5
Trinidad & Tobago,0,2,0%,7.5
Costa Rica,0,2,0%,8.5
Laos,0,2,0%,8.5
Benin,0,2,0%,9
Madagascar,0,2,0%,9.5
Jamaica,0,2,0%,10.5
Armenia,0,2,0%,12
Uzbekistan,0,2,0%,13.5
Liechtenstein,0,2,0%,47.5
Andorra,0,1,0%,1
Barbados,0,1,0%,1
Dominican Republic,0,1,0%,1
Ecuador,0,1,0%,2
Guernsey,0,1,0%,2
Lesotho,0,1,0%,2
Myanmar (Burma),0,1,0%,2
Seychelles,0,1,0%,2
Uruguay,0,1,0%,2
Samoa,0,1,0%,2
Cape Verde,0,1,0%,3
Rwanda,0,1,0%,3
Venezuela,0,1,0%,3
Cameroon,0,1,0%,4
Paraguay,0,1,0%,5
Somalia,0,1,0%,5
Yemen,0,1,0%,5
Belarus,0,1,0%,6
Georgia,0,1,0%,7
Panama,0,1,0%,8
Sierra Leone,0,1,0%,8
Kosovo,0,1,0%,9
Bahamas,0,1,0%,10
Bhutan,0,1,0%,10
Congo - Brazzaville,0,1,0%,10
Macau,0,1,0%,10
Moldova,0,1,0%,10
Togo,0,1,0%,10
Côte d’Ivoire,0,1,0%,17
Guatemala,0,1,0%,67
Jersey,0,1,0%,91
